INFO     | 2022-03-25 09:42:44,799 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2022-03-25 09:42:44,805 | config     | Setting 'alignment' to 'Albugo_cox2_mafft_alignment_20220325-1.phy'
INFO     | 2022-03-25 09:42:44,805 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2022-03-25 09:42:44,806 | parser     | You set 'models' to: allx
INFO     | 2022-03-25 09:42:44,837 | model_load | This analysis will use the following 6 models of molecular evolution
INFO     | 2022-03-25 09:42:44,837 | model_load | GTR, GTR+X, GTR+G, GTR+G+X, GTR+I+G, GTR+I+G+X
INFO     | 2022-03-25 09:42:44,837 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2022-03-25 09:42:44,839 | config     | Setting 'search' to 'greedy'
INFO     | 2022-03-25 09:42:44,839 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2022-03-25 09:42:44,839 | config     | Looking for alignment file './Albugo_cox2_mafft_alignment_20220325-1.phy'...
INFO     | 2022-03-25 09:42:44,839 | threadpool | Using 32 cpus
INFO     | 2022-03-25 09:42:44,839 | analysis   | Beginning Analysis
INFO     | 2022-03-25 09:42:44,854 | alignment  | Reading alignment file './Albugo_cox2_mafft_alignment_20220325-1.phy'
INFO     | 2022-03-25 09:42:44,867 | analysis   | Starting tree will be estimated from the data.
INFO     | 2022-03-25 09:42:44,867 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2022-03-25 09:42:44,867 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2022-03-25 09:42:47,809 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2022-03-25 09:42:49,008 | raxml      | ML topology estimation finished
INFO     | 2022-03-25 09:42:49,009 | analysis_m | Performing Greedy Analysis
INFO     | 2022-03-25 09:42:49,010 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2022-03-25 09:42:51,559 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2022-03-25 09:42:51,668 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2022-03-25 09:42:51,785 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2022-03-25 09:42:51,789 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2022-03-25 09:42:51,790 | analysis_m |       Analysing 3 new subset pairs
